Jun 23, 7:30 am CLASS: LOGIN (MYSQL ERROR ON LINE 155)'Unknown column 'lang' in 'where clause''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:05 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:06 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:06 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:07 am CLASS: API (MYSQL ERROR ON LINE 62)''
Aug 3, 11:53 am CLASS: API (MYSQL ERROR ON LINE 393)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:53 am CLASS: API (MYSQL ERROR ON LINE 430)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:53 am CLASS: API (MYSQL ERROR ON LINE 393)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:53 am CLASS: API (MYSQL ERROR ON LINE 430)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:54 am CLASS: API (MYSQL ERROR ON LINE 393)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:54 am CLASS: API (MYSQL ERROR ON LINE 430)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:54 am CLASS: API (MYSQL ERROR ON LINE 393)'Unknown column 'd_name_' in 'field list''
Aug 3, 11:54 am CLASS: API (MYSQL ERROR ON LINE 430)'Unknown column 'd_name_' in 'field list''
Nov 23, 11:25 am CLASS: PLACES (MYSQL ERROR ON LINE 45)''
Nov 23, 11:25 am CLASS: PLACES (MYSQL ERROR ON LINE 47)'Unknown column 'activated' in 'where clause''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 46)''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 48)'Unknown column 'activated' in 'where clause''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 45)''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 47)'Unknown column 'activated' in 'where clause''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 45)''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 47)'Unknown column 'activated' in 'where clause''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 45)''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 47)'Unknown column 'activated' in 'where clause''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 45)''
Nov 23, 11:26 am CLASS: PLACES (MYSQL ERROR ON LINE 47)'Unknown column 'activated' in 'where clause''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)'Unknown column 'activated' in 'where clause''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)'Unknown column 'activated' in 'where clause''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:27 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:28 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 50)''
Nov 23, 11:29 am CLASS: PLACES (MYSQL ERROR ON LINE 52)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 47)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 49)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 47)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 49)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 47)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 49)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 47)''
Nov 23, 11:30 am CLASS: PLACES (MYSQL ERROR ON LINE 49)''
Nov 23, 11:31 am CLASS: PLACES (MYSQL ERROR ON LINE 47)''
Nov 23, 11:31 am CLASS: PLACES (MYSQL ERROR ON LINE 49)''
Nov 23, 11:41 am CLASS: PLACES (MYSQL ERROR ON LINE 99)''
Nov 23, 11:41 am CLASS: PLACES (MYSQL ERROR ON LINE 101)''
Nov 23, 1:43 pm CLASS: API (MYSQL ERROR ON LINE 536)'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'as place_city
FROM `tour_requests`
LEFT JOIN `members` ON tour_requests.accoun' at line 4'
Nov 23, 1:44 pm CLASS: API (MYSQL ERROR ON LINE 536)'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'as place_city
FROM `tour_requests`
LEFT JOIN `members` ON tour_requests.accoun' at line 4'
Nov 23, 1:44 pm CLASS: API (MYSQL ERROR ON LINE 536)'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'as place_city
FROM `tour_requests`
LEFT JOIN `members` ON tour_requests.accoun' at line 4'
Nov 24, 1:29 pm CLASS: PLACES (MYSQL ERROR ON LINE 66)''
Nov 24, 1:29 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 67)''
Nov 24, 1:30 pm CLASS: PLACES (MYSQL ERROR ON LINE 68)''
Nov 26, 11:17 am CLASS: REVIEWS (MYSQL ERROR ON LINE 73)''
Nov 26, 11:19 am CLASS: REVIEWS (MYSQL ERROR ON LINE 78)''
Nov 26, 11:19 am CLASS: REVIEWS (MYSQL ERROR ON LINE 78)''
Nov 26, 11:19 am CLASS: REVIEWS (MYSQL ERROR ON LINE 78)''
Nov 26, 11:19 am CLASS: REVIEWS (MYSQL ERROR ON LINE 78)''
Nov 26, 11:19 am CLASS: REVIEWS (MYSQL ERROR ON LINE 78)''
